num_threads,iteration,execution_time
1,0,813
1,1,810
1,2,805
1,3,806
1,4,805
1,5,807
1,6,805
1,7,806
1,8,804
1,9,806
1,10,807
1,11,805
1,12,805
1,13,804
1,14,805
1,15,807
1,16,805
1,17,805
1,18,806
1,19,805
1,20,806
1,21,807
1,22,805
1,23,806
1,24,805
1,25,805
1,26,805
1,27,805
1,28,805
1,29,805
1,30,804
2,0,500
2,1,502
2,2,501
2,3,503
2,4,500
2,5,501
2,6,502
2,7,502
2,8,501
2,9,501
2,10,500
2,11,502
2,12,502
2,13,502
2,14,500
2,15,501
2,16,509
2,17,502
2,18,501
2,19,502
2,20,501
2,21,502
2,22,501
2,23,503
2,24,502
2,25,501
2,26,577
2,27,500
2,28,502
2,29,501
2,30,503
3,0,353
3,1,354
3,2,356
3,3,354
3,4,371
3,5,354
3,6,354
3,7,355
3,8,354
3,9,354
3,10,355
3,11,354
3,12,370
3,13,354
3,14,353
3,15,355
3,16,354
3,17,354
3,18,355
3,19,364
3,20,365
3,21,354
3,22,356
3,23,377
3,24,354
3,25,354
3,26,356
3,27,356
3,28,355
3,29,354
3,30,357
4,0,273
4,1,296
4,2,287
4,3,274
4,4,274
4,5,273
4,6,287
4,7,275
4,8,273
4,9,289
4,10,274
4,11,274
4,12,275
4,13,297
4,14,288
4,15,332
4,16,290
4,17,273
4,18,273
4,19,274
4,20,276
4,21,295
4,22,273
4,23,273
4,24,273
4,25,274
4,26,273
4,27,290
4,28,274
4,29,291
4,30,273
5,0,239
5,1,240
5,2,232
5,3,233
5,4,246
5,5,226
5,6,224
5,7,241
5,8,240
5,9,224
5,10,230
5,11,262
5,12,224
5,13,224
5,14,254
5,15,249
5,16,231
5,17,227
5,18,233
5,19,224
5,20,226
5,21,251
5,22,241
5,23,224
5,24,224
5,25,281
5,26,224
5,27,225
5,28,245
5,29,224
5,30,225
6,0,194
6,1,213
6,2,189
6,3,244
6,4,233
6,5,228
6,6,195
6,7,189
6,8,212
6,9,192
6,10,195
6,11,208
6,12,195
6,13,229
6,14,189
6,15,211
6,16,250
6,17,221
6,18,190
6,19,227
6,20,212
6,21,224
6,22,225
6,23,218
6,24,218
6,25,190
6,26,193
6,27,188
6,28,191
6,29,195
6,30,228
7,0,198
7,1,195
7,2,219
7,3,198
7,4,206
7,5,186
7,6,177
7,7,194
7,8,222
7,9,225
7,10,239
7,11,192
7,12,224
7,13,169
7,14,207
7,15,191
7,16,200
7,17,181
7,18,209
7,19,221
7,20,194
7,21,221
7,22,204
7,23,202
7,24,174
7,25,186
7,26,188
7,27,239
7,28,177
7,29,199
7,30,217
8,0,187
8,1,192
8,2,181
8,3,210
8,4,184
8,5,169
8,6,175
8,7,172
8,8,202
8,9,181
8,10,209
8,11,197
8,12,180
8,13,179
8,14,181
8,15,181
8,16,216
8,17,196
8,18,197
8,19,178
8,20,184
8,21,185
8,22,189
8,23,203
8,24,204
8,25,180
8,26,199
8,27,182
8,28,209
8,29,193
8,30,187
9,0,201
9,1,183
9,2,182
9,3,164
9,4,190
9,5,166
9,6,181
9,7,188
9,8,196
9,9,207
9,10,192
9,11,173
9,12,189
9,13,193
9,14,181
9,15,161
9,16,168
9,17,195
9,18,176
9,19,191
9,20,167
9,21,207
9,22,181
9,23,189
9,24,177
9,25,167
9,26,169
9,27,181
9,28,188
9,29,178
9,30,173
10,0,170
10,1,174
10,2,173
10,3,163
10,4,157
10,5,164
10,6,174
10,7,168
10,8,172
10,9,161
10,10,186
10,11,164
10,12,164
10,13,167
10,14,174
10,15,179
10,16,180
10,17,162
10,18,174
10,19,177
10,20,164
10,21,161
10,22,158
10,23,171
10,24,160
10,25,176
10,26,168
10,27,167
10,28,155
10,29,169
10,30,181
11,0,170
11,1,165
11,2,159
11,3,161
11,4,165
11,5,171
11,6,161
11,7,166
11,8,162
11,9,172
11,10,156
11,11,182
11,12,150
11,13,157
11,14,164
11,15,170
11,16,166
11,17,162
11,18,165
11,19,159
11,20,165
11,21,170
11,22,154
11,23,165
11,24,164
11,25,163
11,26,170
11,27,159
11,28,160
11,29,165
11,30,167
12,0,157
12,1,156
12,2,161
12,3,158
12,4,153
12,5,162
12,6,164
12,7,159
12,8,162
12,9,162
12,10,149
12,11,159
12,12,161
12,13,173
12,14,155
12,15,161
12,16,166
12,17,162
12,18,155
12,19,164
12,20,158
12,21,160
12,22,158
12,23,157
12,24,159
12,25,167
12,26,156
12,27,154
12,28,161
12,29,165
12,30,172
13,0,150
13,1,157
13,2,168
13,3,158
13,4,151
13,5,163
13,6,173
13,7,166
13,8,166
13,9,175
13,10,152
13,11,175
13,12,155
13,13,173
13,14,157
13,15,167
