num_threads,iteration,execution_time
1,1,8876
1,2,8847
1,3,8845
1,4,8845
1,5,8842
1,6,8840
1,7,8842
1,8,8855
1,9,8858
1,10,8855
1,11,8844
1,12,8843
1,13,8840
1,14,8842
1,15,8842
1,16,8843
1,17,8844
1,18,8842
1,19,8845
1,20,8841
1,21,8841
1,22,8843
1,23,8843
1,24,8841
1,25,8860
1,26,8842
1,27,8839
1,28,8910
1,29,8874
1,30,8849
2,1,7817
2,2,7829
2,3,7820
2,4,7815
2,5,7819
2,6,7818
2,7,7819
2,8,7812
2,9,7820
2,10,7813
2,11,7821
2,12,7816
2,13,7814
2,14,7826
2,15,7817
2,16,7825
2,17,7821
2,18,7817
2,19,7817
2,20,7820
2,21,7815
2,22,7826
2,23,7818
2,24,7821
2,25,7818
2,26,7817
2,27,7817
2,28,7832
2,29,7819
2,30,7820
3,1,5211
3,2,5225
3,3,5235
3,4,5237
3,5,5211
3,6,5214
3,7,5214
3,8,5230
3,9,5240
3,10,5264
3,11,5250
3,12,5214
3,13,5220
3,14,5222
3,15,5222
3,16,5210
3,17,5213
3,18,5214
3,19,5223
3,20,5218
3,21,5212
3,22,5224
3,23,5219
3,24,5224
3,25,5226
3,26,5224
3,27,5220
3,28,5219
3,29,5226
3,30,5223
4,1,3925
4,2,3923
4,3,3923
4,4,3937
4,5,3925
4,6,3923
4,7,3918
4,8,3924
4,9,3920
4,10,3922
4,11,3925
4,12,3925
4,13,3918
4,14,3921
4,15,3973
4,16,3924
4,17,3923
4,18,3922
4,19,3924
4,20,3928
4,21,3949
4,22,3923
4,23,3926
4,24,3954
4,25,3922
4,26,3926
4,27,3924
4,28,4282
4,29,3995
4,30,3927
5,1,3185
5,2,3178
5,3,3174
5,4,3177
5,5,3176
5,6,3180
5,7,3191
5,8,3186
5,9,3174
5,10,3175
5,11,3186
5,12,3185
5,13,3199
5,14,3225
5,15,3181
5,16,3179
5,17,3198
5,18,3175
5,19,3173
5,20,3180
5,21,3178
5,22,3184
5,23,3177
5,24,3206
5,25,3199
5,26,3187
5,27,3182
5,28,3175
5,29,3194
5,30,3179
6,1,2716
6,2,2672
6,3,2674
6,4,2671
6,5,2672
6,6,2702
6,7,2671
6,8,2675
6,9,2675
6,10,2675
6,11,2675
6,12,2675
6,13,2680
6,14,2676
6,15,2679
6,16,2688
6,17,2675
6,18,2673
6,19,2691
6,20,2681
6,21,2674
6,22,2679
6,23,2674
6,24,2678
6,25,2677
6,26,2669
6,27,2672
6,28,2684
6,29,2680
6,30,2688
7,1,2300
7,2,2297
7,3,2313
7,4,2296
7,5,2300
7,6,2325
7,7,2295
7,8,2297
7,9,2315
7,10,2304
7,11,2306
7,12,2322
7,13,2307
7,14,2293
7,15,2299
7,16,2297
7,17,2299
7,18,2316
7,19,2300
7,20,2297
7,21,2300
7,22,2303
7,23,2298
7,24,2290
7,25,2303
7,26,2299
7,27,2294
7,28,2306
7,29,2305
7,30,2316
8,1,2015
8,2,2016
8,3,2013
8,4,2015
8,5,2038
8,6,2017
8,7,2009
8,8,2011
8,9,2014
8,10,2015
8,11,2011
8,12,2017
8,13,2023
8,14,2013
8,15,2014
8,16,2022
8,17,2010
8,18,2030
8,19,2016
8,20,2013
8,21,2016
8,22,2022
8,23,2011
8,24,2015
8,25,2022
8,26,2039
8,27,2017
8,28,2019
8,29,2014
8,30,2020
9,1,1817
9,2,1813
9,3,1809
9,4,1808
9,5,1810
9,6,1808
9,7,1815
9,8,1815
9,9,1808
9,10,1806
9,11,1808
9,12,1807
9,13,1811
9,14,1812
9,15,1817
9,16,1820
9,17,1834
9,18,1816
9,19,1823
9,20,1813
9,21,1813
9,22,1808
9,23,1810
9,24,1808
9,25,1817
9,26,1805
9,27,1812
9,28,1808
9,29,1807
9,30,1814
10,1,1647
10,2,1645
10,3,1661
10,4,1643
10,5,1640
10,6,1644
10,7,1643
10,8,1659
10,9,1675
10,10,1652
10,11,1654
10,12,1683
10,13,1645
10,14,1644
10,15,1644
10,16,1646
10,17,1646
10,18,1645
10,19,1647
10,20,1644
10,21,1644
10,22,1642
10,23,1647
10,24,1657
10,25,1648
10,26,1655
10,27,1643
10,28,1645
10,29,1645
10,30,1644
11,1,1507
11,2,1513
11,3,1503
11,4,1506
11,5,1510
11,6,1504
11,7,1514
11,8,1508
11,9,1512
11,10,1505
11,11,1509
11,12,1503
11,13,1510
11,14,1510
11,15,1509
11,16,1507
11,17,1510
11,18,1505
11,19,1525
11,20,1535
11,21,1509
11,22,1513
11,23,1511
11,24,1507
11,25,1509
11,26,1502
11,27,1521
11,28,1504
11,29,1509
11,30,1501
12,1,1410
12,2,1414
12,3,1414
12,4,1418
12,5,1410
12,6,1414
12,7,1410
12,8,1410
12,9,1412
12,10,1418
12,11,1410
12,12,1412
12,13,1409
12,14,1422
12,15,1407
12,16,1412
12,17,1413
12,18,1416
12,19,1413
12,20,1424
12,21,1407
12,22,1415
12,23,1414
12,24,1417
12,25,1424
12,26,1425
12,27,1416
12,28,1500
12,29,1419
12,30,1434
