num_threads,iteration,execution_time
1,1,1145
1,2,1147
1,3,1139
1,4,1138
1,5,1139
1,6,1139
1,7,1139
1,8,1139
1,9,1139
1,10,1139
1,11,1138
1,12,1139
1,13,1139
1,14,1139
1,15,1139
1,16,1138
1,17,1138
1,18,1139
1,19,1139
1,20,1139
1,21,1139
1,22,1139
1,23,1139
1,24,1140
1,25,1139
1,26,1138
1,27,1139
1,28,1140
1,29,1139
1,30,1139
2,1,1127
2,2,1126
2,3,1127
2,4,1126
2,5,1127
2,6,1126
2,7,1126
2,8,1126
2,9,1127
2,10,1128
2,11,1126
2,12,1126
2,13,1126
2,14,1127
2,15,1126
2,16,1127
2,17,1127
2,18,1127
2,19,1126
2,20,1126
2,21,1126
2,22,1126
2,23,1126
2,24,1127
2,25,1128
2,26,1126
2,27,1126
2,28,1126
2,29,1127
2,30,1127
3,1,750
3,2,752
3,3,751
3,4,752
3,5,751
3,6,752
3,7,751
3,8,752
3,9,751
3,10,751
3,11,751
3,12,752
3,13,751
3,14,751
3,15,751
3,16,752
3,17,751
3,18,752
3,19,751
3,20,757
3,21,751
3,22,752
3,23,751
3,24,752
3,25,751
3,26,752
3,27,751
3,28,752
3,29,752
3,30,752
4,1,564
4,2,565
4,3,564
4,4,565
4,5,565
4,6,565
4,7,565
4,8,564
4,9,565
4,10,565
4,11,565
4,12,565
4,13,564
4,14,565
4,15,564
4,16,565
4,17,565
4,18,564
4,19,565
4,20,565
4,21,565
4,22,565
4,23,565
4,24,565
4,25,565
4,26,565
4,27,564
4,28,565
4,29,565
4,30,564
5,1,458
5,2,458
5,3,458
5,4,458
5,5,459
5,6,459
5,7,458
5,8,458
5,9,458
5,10,458
5,11,458
5,12,458
5,13,458
5,14,458
5,15,458
5,16,458
5,17,458
5,18,458
5,19,458
5,20,458
5,21,458
5,22,458
5,23,458
5,24,458
5,25,459
5,26,459
5,27,458
5,28,458
5,29,458
5,30,458
6,1,385
6,2,385
6,3,386
6,4,385
6,5,385
6,6,385
6,7,385
6,8,387
6,9,386
6,10,385
6,11,385
6,12,385
6,13,386
6,14,385
6,15,385
6,16,385
6,17,385
6,18,386
6,19,385
6,20,385
6,21,385
6,22,385
6,23,386
6,24,385
6,25,385
6,26,385
6,27,385
6,28,386
6,29,385
6,30,386
7,1,330
7,2,331
7,3,331
7,4,331
7,5,330
7,6,331
7,7,330
7,8,331
7,9,332
7,10,331
7,11,330
7,12,331
7,13,330
7,14,330
7,15,333
7,16,330
7,17,331
7,18,332
7,19,330
7,20,331
7,21,330
7,22,330
7,23,331
7,24,330
7,25,330
7,26,330
7,27,331
7,28,330
7,29,331
7,30,330
8,1,289
8,2,291
8,3,289
8,4,289
8,5,291
8,6,290
8,7,291
8,8,290
8,9,293
8,10,289
8,11,289
8,12,290
8,13,290
8,14,289
8,15,292
8,16,289
8,17,290
8,18,291
8,19,290
8,20,289
8,21,290
8,22,290
8,23,289
8,24,289
8,25,291
8,26,289
8,27,290
8,28,289
8,29,289
8,30,289
9,1,262
9,2,262
9,3,260
9,4,261
9,5,262
9,6,261
9,7,261
9,8,261
9,9,263
9,10,260
9,11,261
9,12,263
9,13,261
9,14,260
9,15,264
9,16,263
9,17,263
9,18,263
9,19,264
9,20,264
9,21,262
9,22,262
9,23,265
9,24,261
9,25,284
9,26,263
9,27,262
9,28,261
9,29,260
9,30,264
10,1,237
10,2,236
10,3,236
10,4,237
10,5,237
10,6,236
10,7,237
10,8,239
10,9,236
10,10,236
10,11,237
10,12,238
10,13,236
10,14,236
10,15,237
10,16,240
10,17,236
10,18,238
10,19,237
10,20,238
10,21,236
10,22,236
10,23,238
10,24,237
10,25,236
10,26,236
10,27,237
10,28,237
10,29,236
10,30,236
11,1,216
11,2,216
11,3,215
11,4,217
11,5,215
11,6,217
11,7,215
11,8,215
11,9,215
11,10,220
11,11,215
11,12,214
11,13,214
11,14,217
11,15,215
11,16,214
11,17,215
11,18,216
11,19,218
11,20,214
11,21,215
11,22,216
11,23,217
11,24,215
11,25,215
11,26,214
11,27,218
11,28,215
11,29,215
11,30,214
12,1,200
12,2,203
12,3,197
12,4,199
12,5,198
12,6,201
12,7,198
12,8,198
12,9,198
12,10,198
12,11,200
12,12,198
12,13,199
12,14,198
12,15,202
12,16,199
12,17,197
12,18,198
12,19,198
12,20,206
12,21,198
12,22,198
12,23,198
12,24,203
12,25,199
12,26,198
12,27,198
12,28,197
12,29,201
12,30,202
