num_threads,iteration,execution_time
1,1,72
1,2,72
1,3,72
1,4,72
1,5,72
1,6,72
1,7,72
1,8,72
1,9,72
1,10,72
1,11,72
1,12,72
1,13,72
1,14,72
1,15,72
1,16,72
1,17,72
1,18,72
1,19,72
1,20,72
1,21,72
1,22,72
1,23,72
1,24,72
1,25,72
1,26,72
1,27,72
1,28,72
1,29,72
1,30,72
2,1,37
2,2,37
2,3,37
2,4,37
2,5,37
2,6,37
2,7,37
2,8,37
2,9,37
2,10,37
2,11,36
2,12,37
2,13,36
2,14,36
2,15,37
2,16,37
2,17,37
2,18,37
2,19,37
2,20,37
2,21,37
2,22,37
2,23,36
2,24,37
2,25,37
2,26,37
2,27,37
2,28,37
2,29,37
2,30,37
3,1,25
3,2,25
3,3,25
3,4,25
3,5,25
3,6,25
3,7,25
3,8,25
3,9,25
3,10,25
3,11,25
3,12,25
3,13,25
3,14,25
3,15,25
3,16,25
3,17,25
3,18,25
3,19,25
3,20,25
3,21,25
3,22,25
3,23,25
3,24,25
3,25,25
3,26,25
3,27,25
3,28,25
3,29,25
3,30,25
4,1,19
4,2,19
4,3,19
4,4,19
4,5,19
4,6,19
4,7,19
4,8,19
4,9,19
4,10,19
4,11,19
4,12,19
4,13,19
4,14,19
4,15,19
4,16,19
4,17,19
4,18,19
4,19,19
4,20,19
4,21,19
4,22,19
4,23,19
4,24,23
4,25,19
4,26,37
4,27,19
4,28,19
4,29,19
4,30,19
5,1,16
5,2,16
5,3,15
5,4,15
5,5,15
5,6,15
5,7,22
5,8,29
5,9,16
5,10,15
5,11,16
5,12,16
5,13,15
5,14,15
5,15,15
5,16,15
5,17,15
5,18,15
5,19,15
5,20,15
5,21,15
5,22,18
5,23,29
5,24,24
5,25,16
5,26,15
5,27,30
5,28,30
5,29,16
5,30,30
6,1,13
6,2,13
6,3,13
6,4,25
6,5,24
6,6,18
6,7,14
6,8,24
6,9,25
6,10,25
6,11,25
6,12,13
6,13,13
6,14,25
6,15,13
6,16,13
6,17,13
6,18,25
6,19,25
6,20,13
6,21,13
6,22,25
6,23,25
6,24,13
6,25,13
6,26,25
6,27,13
6,28,13
6,29,13
6,30,17
7,1,21
7,2,22
7,3,21
7,4,21
7,5,20
7,6,21
7,7,21
7,8,21
7,9,22
7,10,21
7,11,21
7,12,21
7,13,21
7,14,21
7,15,21
7,16,19
7,17,21
7,18,21
7,19,21
7,20,19
7,21,21
7,22,21
7,23,21
7,24,21
7,25,21
7,26,21
7,27,22
7,28,21
7,29,22
7,30,21
8,1,19
8,2,19
8,3,19
8,4,19
8,5,19
8,6,19
8,7,19
8,8,19
8,9,18
8,10,19
8,11,19
8,12,19
8,13,19
8,14,19
8,15,17
8,16,19
8,17,19
8,18,19
8,19,19
8,20,18
8,21,19
8,22,19
8,23,19
8,24,19
8,25,19
8,26,19
8,27,18
8,28,19
8,29,19
8,30,19
9,1,17
9,2,17
9,3,17
9,4,17
9,5,17
9,6,17
9,7,17
9,8,17
9,9,17
9,10,16
9,11,17
9,12,17
9,13,17
9,14,17
9,15,17
9,16,17
9,17,17
9,18,17
9,19,17
9,20,17
9,21,16
9,22,16
9,23,17
9,24,17
9,25,17
9,26,16
9,27,17
9,28,17
9,29,17
9,30,17
10,1,15
10,2,15
10,3,15
10,4,15
10,5,15
10,6,15
10,7,15
10,8,15
10,9,16
10,10,15
10,11,15
10,12,15
10,13,15
10,14,15
10,15,15
10,16,15
10,17,15
10,18,15
10,19,15
10,20,15
10,21,15
10,22,15
10,23,15
10,24,15
10,25,15
10,26,15
10,27,15
10,28,15
10,29,15
10,30,15
11,1,14
11,2,14
11,3,14
11,4,14
11,5,14
11,6,14
11,7,14
11,8,14
11,9,14
11,10,14
11,11,14
11,12,14
11,13,14
11,14,14
11,15,14
11,16,14
11,17,14
11,18,14
11,19,14
11,20,14
11,21,14
11,22,14
11,23,14
11,24,14
11,25,14
11,26,14
11,27,14
11,28,14
11,29,14
11,30,14
12,1,13
12,2,13
12,3,13
12,4,13
12,5,13
12,6,13
12,7,16
12,8,13
12,9,13
12,10,13
12,11,13
12,12,17
12,13,13
12,14,13
12,15,13
12,16,13
12,17,13
12,18,13
12,19,13
12,20,13
12,21,13
12,22,13
12,23,13
12,24,13
12,25,13
12,26,13
12,27,13
12,28,13
12,29,13
12,30,13
13,1,17
13,2,17
13,3,17
13,4,17
13,5,17
13,6,17
13,7,17
13,8,17
13,9,20
13,10,17
13,11,17
13,12,17
13,13,16
13,14,17
13,15,17
13,16,17
13,17,17
13,18,18
13,19,18
13,20,17
13,21,17
13,22,17
13,23,17
13,24,17
13,25,17
13,26,17
13,27,17
13,28,17
13,29,17
13,30,17
14,1,16
14,2,16
14,3,16
14,4,16
14,5,16
14,6,16
14,7,16
14,8,16
14,9,16
14,10,16
14,11,16
14,12,16
14,13,16
14,14,16
14,15,16
14,16,16
14,17,16
14,18,16
14,19,21
14,20,16
14,21,16
14,22,16
14,23,16
14,24,16
14,25,17
14,26,21
14,27,16
14,28,16
14,29,16
14,30,16
15,1,15
15,2,15
15,3,15
15,4,15
15,5,15
15,6,15
15,7,20
15,8,20
15,9,15
15,10,15
15,11,15
15,12,15
15,13,15
15,14,15
15,15,15
15,16,15
15,17,15
15,18,15
15,19,20
15,20,15
15,21,15
15,22,15
15,23,15
15,24,15
15,25,15
15,26,15
15,27,15
15,28,15
15,29,15
15,30,15
16,1,14
16,2,14
16,3,14
16,4,14
16,5,14
16,6,18
16,7,16
16,8,14
16,9,14
16,10,16
16,11,14
16,12,14
16,13,15
16,14,14
16,15,14
16,16,14
16,17,14
16,18,18
16,19,14
16,20,14
16,21,18
16,22,19
16,23,18
16,24,14
16,25,14
16,26,19
16,27,18
16,28,18
16,29,18
16,30,18
