num_CUDA_blocks,iteration,GPU_execution_time,TOTAL_execution_time
3200,0,850.851,1215
3200,1,850.933,1152
3200,2,850.803,1148
3200,3,850.797,1142
3200,4,850.991,1150
3200,5,851.142,1160
3200,6,850.653,1147
3200,7,851.132,1159
3200,8,851.005,1149
3200,9,850.873,1149
3200,10,850.675,1144
3200,11,850.757,1149
3200,12,850.958,1144
3200,13,850.772,1145
3200,14,850.949,1146
3200,15,850.701,1165
3200,16,850.909,1144
3200,17,850.898,1144
3200,18,850.889,1144
3200,19,851.022,1152
3200,20,850.772,1147
3200,21,851.028,1148
3200,22,850.92,1150
3200,23,851.129,1160
3200,24,851.034,1157
3200,25,851.307,1167
3200,26,850.725,1154
3200,27,850.792,1179
3200,28,850.846,1159
3200,29,850.741,1146
6400,0,841.124,1137
6400,1,841.124,1175
6400,2,841.057,1152
6400,3,841.196,1140
6400,4,841.067,1158
6400,5,841.368,1138
6400,6,841.045,1139
6400,7,841.072,1149
6400,8,840.997,1136
6400,9,840.894,1146
6400,10,841.195,1134
6400,11,841.162,1189
6400,12,840.899,1133
6400,13,841.275,1138
6400,14,840.987,1142
6400,15,840.945,1138
6400,16,841.067,1150
6400,17,841.224,1153
6400,18,841.265,1148
6400,19,841.127,1154
6400,20,841.179,1134
6400,21,840.994,1155
6400,22,841.121,1135
6400,23,841.107,1135
6400,24,841.109,1139
6400,25,841.267,1134
6400,26,840.994,1134
6400,27,841.218,1156
6400,28,841.343,1136
6400,29,841.146,1133
9600,0,835.95,1145
9600,1,836.028,1138
9600,2,836.006,1132
9600,3,835.995,1132
9600,4,835.883,1148
9600,5,835.964,1128
9600,6,835.901,1129
9600,7,836.131,1149
9600,8,836.04,1134
9600,9,836.012,1133
9600,10,835.974,1133
9600,11,836.064,1146
9600,12,836.008,1134
9600,13,836.035,1132
9600,14,835.879,1139
9600,15,836.083,1130
9600,16,836.103,1128
9600,17,836.073,1143
9600,18,836.109,1138
9600,19,835.978,1135
9600,20,836.064,1132
9600,21,835.966,1136
9600,22,836.006,1133
9600,23,836.001,1133
9600,24,836.014,1136
9600,25,835.979,1132
9600,26,835.976,1132
9600,27,836.034,1152
9600,28,835.962,1131
9600,29,836.084,1131
12800,0,833.077,1132
12800,1,833.182,1131
12800,2,833.101,1134
12800,3,833.093,1128
12800,4,833.031,1128
12800,5,833.085,1134
12800,6,833.051,1128
12800,7,833.273,1149
12800,8,833.074,1136
12800,9,833.041,1146
12800,10,833.168,1130
12800,11,833.036,1130
12800,12,833.219,1130
12800,13,833.148,1139
12800,14,833.065,1129
12800,15,833.099,1139
12800,16,833.147,1130
12800,17,833.093,1125
12800,18,833.145,1133
12800,19,833.112,1132
12800,20,833.219,1126
12800,21,833.053,1126
12800,22,833.15,1133
12800,23,833.074,1139
12800,24,833.085,1141
12800,25,833.087,1156
12800,26,833.201,1125
12800,27,833.172,1126
12800,28,833.201,1162
12800,29,833.091,1126
16000,0,831.395,1147
16000,1,831.402,1126
16000,2,831.337,1150
16000,3,831.289,1148
16000,4,831.312,1146
16000,5,831.317,1146
16000,6,831.389,1132
16000,7,831.243,1140
16000,8,831.299,1140
16000,9,831.309,1138
16000,10,831.302,1124
16000,11,831.321,1129
16000,12,831.364,1129
16000,13,831.367,1139
16000,14,831.262,1184
16000,15,831.36,1127
16000,16,831.363,1126
16000,17,831.323,1125
16000,18,831.333,1127
16000,19,831.346,1133
16000,20,831.31,1139
16000,21,831.308,1131
16000,22,831.344,1130
16000,23,831.345,1150
16000,24,831.352,1127
16000,25,831.29,1123
16000,26,831.351,1126
16000,27,831.361,1135
16000,28,831.377,1138
16000,29,831.341,1127
19200,0,830.117,1141
19200,1,830.135,1138
19200,2,830.105,1148
19200,3,830.07,1125
19200,4,830.15,1138
19200,5,830.063,1127
19200,6,830.086,1130
19200,7,830.076,1128
19200,8,830.069,1126
19200,9,830.096,1171
19200,10,830.179,1126
19200,11,830.106,1124
19200,12,830.14,1130
19200,13,830.231,1132
19200,14,830.117,1140
19200,15,830.104,1128
19200,16,830.128,1126
19200,17,830.105,1135
19200,18,830.114,1142
19200,19,830.115,1129
19200,20,830.15,1126
19200,21,830.144,1160
19200,22,830.153,1126
19200,23,830.11,1127
19200,24,830.136,1137
19200,25,830.065,1125
19200,26,830.138,1143
19200,27,830.126,1126
19200,28,830.055,1123
19200,29,830.127,1125
22400,0,829.272,1122
22400,1,829.289,1127
22400,2,829.278,1147
