num_CUDA_blocks,iteration,GPU_execution_time,TOTAL_execution_time
1,0,25932.4,26227
1,1,25932.4,26235
1,2,25932.4,26240
1,3,25932.4,26260
1,4,25932.4,26293
1,5,25932.4,26273
1,6,25932.4,26261
1,7,25932.4,26248
1,8,25932.4,26247
1,9,25932.4,26232
1,10,25932.4,26230
1,11,25932.4,26231
1,12,25932.4,26226
1,13,25932.4,26230
1,14,25932.4,26238
1,15,25932.4,26231
1,16,25932.4,26232
1,17,25932.4,26242
1,18,25989.1,26288
1,19,25932.4,26230
1,20,25932.4,26262
1,21,25932.4,26281
1,22,25932.4,26239
1,23,25932.4,26272
1,24,25932.4,26227
1,25,25932.4,26230
1,26,25932.4,26234
1,27,25932.4,26250
1,28,25932.4,26243
1,29,25932.4,26239
50,0,536.276,835
50,1,536.281,835
50,2,536.282,837
50,3,536.285,846
50,4,536.284,835
50,5,536.286,835
50,6,536.283,836
50,7,536.286,836
50,8,536.285,833
50,9,536.281,831
50,10,536.292,842
50,11,536.278,831
50,12,536.287,835
50,13,536.278,829
50,14,536.281,832
50,15,536.277,830
50,16,536.286,832
50,17,536.286,836
50,18,536.282,834
50,19,536.285,833
50,20,536.286,833
50,21,536.285,835
50,22,536.281,829
50,23,536.278,828
50,24,536.286,839
50,25,536.279,831
50,26,536.282,837
50,27,536.284,833
50,28,536.287,832
50,29,536.283,837
100,0,295.982,591
100,1,297.957,595
100,2,295.983,592
100,3,297.962,609
100,4,297.957,594
100,5,297.957,597
100,6,297.142,590
100,7,299.801,595
100,8,297.957,591
100,9,296.034,601
100,10,297.96,607
100,11,297.955,595
100,12,296.028,590
100,13,297.96,595
100,14,296.038,593
100,15,297.951,594
100,16,297.952,590
100,17,297.951,596
100,18,297.951,592
100,19,299.801,599
100,20,296.033,588
100,21,297.95,590
100,22,299.611,602
100,23,297.958,597
100,24,295.983,596
100,25,297.959,595
100,26,299.519,595
100,27,299.799,597
100,28,297.956,596
100,29,297.955,591
150,0,201.572,494
150,1,202.536,502
150,2,200.548,493
150,3,201.853,495
150,4,202.388,518
150,5,200.649,494
150,6,202.886,509
150,7,202.476,497
150,8,202.466,496
150,9,202.659,499
150,10,202.606,497
150,11,200.914,493
150,12,201.033,492
150,13,202.725,499
150,14,202.734,508
150,15,202.726,498
150,16,202.373,496
150,17,200.746,508
150,18,201.214,493
150,19,202.59,499
150,20,202.554,511
150,21,203.132,500
150,22,201.415,508
150,23,201.686,508
150,24,200.671,497
150,25,202.542,511
150,26,202.454,513
150,27,202.802,510
150,28,203.098,502
150,29,201.592,493
200,0,163.195,465
200,1,163.194,461
200,2,163.178,467
200,3,163.167,463
200,4,163.162,457
200,5,163.166,455
200,6,163.217,459
200,7,163.215,460
