num_threads,iteration,execution_time
1,0,2843
1,1,2839
1,2,2837
1,3,2864
1,4,2848
1,5,2859
1,6,2849
1,7,2840
1,8,2837
1,9,2837
1,10,2835
1,11,2837
1,12,2838
1,13,2836
1,14,2835
1,15,2836
1,16,2837
1,17,2835
1,18,2835
1,19,2835
1,20,2836
1,21,2835
1,22,2836
1,23,2832
1,24,2834
1,25,2836
1,26,2836
1,27,2834
1,28,2833
1,29,2833
1,30,2833
2,0,1784
2,1,1834
2,2,1794
2,3,1790
2,4,1785
2,5,1785
2,6,1789
2,7,1791
2,8,1789
2,9,1783
2,10,1783
2,11,1773
2,12,1774
2,13,1775
2,14,1791
2,15,1785
2,16,1784
2,17,1786
2,18,1792
2,19,1810
2,20,1799
2,21,1785
2,22,1798
2,23,1775
2,24,1781
2,25,1787
2,26,1801
2,27,1782
2,28,1790
2,29,1779
2,30,1798
3,0,1254
3,1,1277
3,2,1292
3,3,1315
3,4,1283
3,5,1271
3,6,1264
3,7,1260
3,8,1253
3,9,1271
3,10,1292
3,11,1257
3,12,1252
3,13,1262
3,14,1256
3,15,1292
3,16,1290
3,17,1265
3,18,1276
3,19,1252
3,20,1319
3,21,1322
3,22,1253
3,23,1288
3,24,1276
3,25,1302
3,26,1288
3,27,1278
3,28,1281
3,29,1266
3,30,1267
4,0,992
4,1,1002
4,2,991
4,3,984
4,4,999
4,5,980
4,6,968
4,7,996
4,8,1018
4,9,1024
4,10,1014
4,11,977
4,12,1007
4,13,995
4,14,997
4,15,1007
4,16,1054
4,17,1012
4,18,1005
4,19,1003
4,20,1014
4,21,1008
4,22,1063
4,23,1005
4,24,1000
4,25,983
4,26,1009
4,27,986
4,28,988
4,29,1016
4,30,988
5,0,830
5,1,875
5,2,805
5,3,825
5,4,843
5,5,878
5,6,874
5,7,853
5,8,859
5,9,859
5,10,840
5,11,831
5,12,794
5,13,837
5,14,866
5,15,845
5,16,840
5,17,888
5,18,857
5,19,866
5,20,838
5,21,813
5,22,861
5,23,858
5,24,867
5,25,835
5,26,806
5,27,866
5,28,862
5,29,848
5,30,823
6,0,750
6,1,763
6,2,757
6,3,804
6,4,797
6,5,796
6,6,757
6,7,765
6,8,782
6,9,767
6,10,745
6,11,806
6,12,756
6,13,765
6,14,777
6,15,790
6,16,731
6,17,819
6,18,769
6,19,724
6,20,798
6,21,806
6,22,847
6,23,775
6,24,739
6,25,719
6,26,779
6,27,769
6,28,781
6,29,761
6,30,730
7,0,673
7,1,707
7,2,721
7,3,705
7,4,687
7,5,699
7,6,685
7,7,790
7,8,717
7,9,727
7,10,699
7,11,681
7,12,695
7,13,708
7,14,691
7,15,664
7,16,661
7,17,690
7,18,691
7,19,740
7,20,695
7,21,706
7,22,685
7,23,742
7,24,693
7,25,719
7,26,698
7,27,688
7,28,680
7,29,709
7,30,733
8,0,668
8,1,637
8,2,645
8,3,665
8,4,645
8,5,621
8,6,644
8,7,652
8,8,682
8,9,688
8,10,582
8,11,665
8,12,645
8,13,642
8,14,645
8,15,619
8,16,651
8,17,661
8,18,641
8,19,639
8,20,625
8,21,619
8,22,616
8,23,651
8,24,635
8,25,620
8,26,624
8,27,640
8,28,633
8,29,622
8,30,673
9,0,590
9,1,577
9,2,606
9,3,625
9,4,615
9,5,588
9,6,629
9,7,617
9,8,634
9,9,618
9,10,585
9,11,627
9,12,617
9,13,601
9,14,620
9,15,578
9,16,630
9,17,573
9,18,593
9,19,600
9,20,599
9,21,589
9,22,610
9,23,597
9,24,638
9,25,633
9,26,571
9,27,610
9,28,588
9,29,571
9,30,657
10,0,607
10,1,615
10,2,616
10,3,563
10,4,573
10,5,614
10,6,560
10,7,615
10,8,583
10,9,592
10,10,594
10,11,604
10,12,624
10,13,596
10,14,596
10,15,557
10,16,554
10,17,578
10,18,596
10,19,636
10,20,559
10,21,631
10,22,584
10,23,557
10,24,574
10,25,620
10,26,571
10,27,568
10,28,568
10,29,576
10,30,604
11,0,553
11,1,574
11,2,552
11,3,558
11,4,588
11,5,547
11,6,551
11,7,555
11,8,602
11,9,584
11,10,564
11,11,540
11,12,574
11,13,551
11,14,562
11,15,615
11,16,567
11,17,561
11,18,580
11,19,582
11,20,548
11,21,577
11,22,571
11,23,567
11,24,540
