num_threads,iteration,execution_time
1,0,1166
1,1,1163
1,2,1158
1,3,1158
1,4,1159
1,5,1159
1,6,1159
1,7,1159
1,8,1159
1,9,1159
1,10,1158
1,11,1158
1,12,1159
1,13,1159
1,14,1159
1,15,1160
1,16,1159
1,17,1158
1,18,1162
1,19,1159
1,20,1158
1,21,1158
1,22,1159
1,23,1159
1,24,1158
1,25,1160
1,26,1159
1,27,1158
1,28,1158
1,29,1160
1,30,1158
2,0,584
2,1,601
2,2,607
2,3,584
2,4,601
2,5,592
2,6,646
2,7,595
2,8,584
2,9,586
2,10,593
2,11,608
2,12,583
2,13,605
2,14,587
2,15,588
2,16,595
2,17,582
2,18,606
2,19,583
2,20,583
2,21,585
2,22,582
2,23,587
2,24,609
2,25,583
2,26,583
2,27,607
2,28,586
2,29,593
2,30,593
3,0,432
3,1,399
3,2,395
3,3,428
3,4,421
3,5,418
3,6,432
3,7,410
3,8,435
3,9,456
3,10,397
3,11,418
3,12,428
3,13,408
3,14,433
3,15,419
3,16,419
3,17,427
3,18,435
3,19,405
3,20,396
3,21,474
3,22,446
3,23,407
3,24,403
3,25,411
3,26,398
3,27,403
3,28,395
3,29,411
3,30,429
4,0,356
4,1,343
4,2,347
4,3,361
4,4,340
4,5,340
4,6,385
4,7,374
4,8,345
4,9,343
4,10,328
4,11,354
4,12,336
4,13,394
4,14,367
4,15,348
4,16,316
4,17,333
4,18,345
4,19,346
4,20,347
4,21,389
4,22,386
4,23,298
4,24,364
4,25,374
4,26,324
4,27,370
4,28,311
4,29,311
4,30,326
5,0,351
5,1,344
5,2,289
5,3,304
5,4,324
5,5,325
5,6,332
5,7,305
5,8,295
5,9,282
5,10,335
5,11,320
5,12,335
5,13,302
5,14,285
5,15,288
5,16,323
5,17,286
5,18,337
5,19,273
5,20,312
5,21,346
5,22,275
5,23,316
5,24,288
5,25,300
5,26,308
5,27,311
5,28,357
5,29,294
5,30,275
6,0,297
6,1,301
6,2,266
6,3,295
6,4,290
6,5,294
6,6,280
6,7,290
6,8,283
6,9,296
6,10,282
6,11,284
6,12,240
6,13,265
6,14,250
6,15,320
6,16,294
6,17,281
6,18,262
6,19,252
6,20,244
6,21,286
6,22,287
6,23,295
6,24,274
6,25,292
6,26,292
6,27,248
6,28,274
6,29,277
6,30,273
7,0,266
7,1,268
7,2,280
7,3,276
7,4,266
7,5,274
7,6,277
7,7,269
7,8,271
7,9,270
7,10,266
7,11,256
7,12,266
7,13,258
7,14,246
7,15,273
7,16,259
7,17,258
7,18,276
7,19,265
7,20,251
7,21,282
7,22,261
7,23,252
7,24,242
7,25,258
7,26,249
7,27,250
7,28,255
7,29,262
7,30,272
8,0,250
8,1,241
8,2,233
8,3,263
8,4,252
8,5,240
8,6,237
8,7,249
8,8,250
8,9,253
8,10,234
8,11,247
8,12,236
8,13,239
8,14,241
8,15,229
8,16,245
8,17,248
8,18,242
8,19,250
8,20,239
8,21,250
8,22,238
8,23,261
8,24,249
8,25,245
8,26,259
8,27,248
8,28,252
8,29,245
8,30,257
9,0,241
9,1,235
9,2,244
9,3,239
9,4,224
9,5,237
9,6,242
9,7,255
9,8,227
