num_threads,iteration,execution_time
1,0,1160
1,1,1158
1,2,1155
1,3,1156
1,4,1156
1,5,1154
1,6,1154
1,7,1153
1,8,1155
1,9,1155
1,10,1155
1,11,1153
1,12,1154
1,13,1154
1,14,1154
1,15,1154
1,16,1154
1,17,1153
1,18,1154
1,19,1154
1,20,1154
1,21,1158
1,22,1154
1,23,1158
1,24,1154
1,25,1153
1,26,1154
1,27,1154
1,28,1155
1,29,1153
1,30,1154
2,0,581
2,1,618
2,2,584
2,3,597
2,4,578
2,5,595
2,6,579
2,7,579
2,8,580
2,9,579
2,10,589
2,11,582
2,12,579
2,13,579
2,14,578
2,15,583
2,16,579
2,17,580
2,18,583
2,19,578
2,20,583
2,21,583
2,22,579
2,23,583
2,24,579
2,25,582
2,26,580
2,27,580
2,28,582
2,29,577
2,30,580
3,0,402
3,1,421
3,2,409
3,3,411
3,4,394
3,5,402
3,6,415
3,7,408
3,8,423
3,9,414
3,10,396
3,11,409
3,12,411
3,13,396
3,14,405
3,15,404
3,16,395
3,17,412
3,18,395
3,19,395
3,20,397
3,21,395
3,22,500
3,23,404
3,24,409
3,25,394
3,26,395
3,27,395
3,28,394
3,29,419
3,30,395
4,0,298
4,1,299
4,2,301
4,3,296
4,4,342
4,5,312
4,6,319
4,7,323
4,8,315
4,9,310
4,10,338
4,11,306
4,12,320
4,13,352
4,14,297
4,15,333
4,16,302
4,17,300
4,18,314
4,19,337
4,20,388
4,21,321
4,22,343
4,23,304
4,24,379
4,25,365
4,26,308
4,27,345
4,28,306
4,29,306
4,30,360
5,0,290
5,1,302
5,2,316
5,3,294
5,4,283
5,5,273
5,6,266
5,7,295
5,8,260
5,9,307
5,10,275
5,11,295
5,12,342
5,13,297
5,14,295
5,15,280
5,16,265
5,17,265
5,18,313
5,19,257
5,20,250
5,21,320
5,22,366
5,23,317
5,24,272
5,25,260
5,26,318
5,27,302
5,28,317
5,29,274
5,30,303
6,0,283
6,1,256
6,2,232
6,3,241
6,4,285
6,5,263
6,6,217
6,7,309
6,8,263
6,9,329
6,10,271
6,11,317
6,12,256
6,13,307
6,14,304
6,15,272
6,16,247
6,17,251
6,18,249
6,19,240
6,20,285
6,21,304
6,22,251
6,23,292
6,24,277
6,25,311
6,26,239
6,27,298
6,28,301
6,29,270
6,30,251
7,0,266
7,1,278
7,2,315
7,3,248
7,4,264
7,5,265
7,6,257
7,7,267
7,8,271
7,9,253
7,10,241
7,11,294
7,12,264
7,13,250
7,14,270
7,15,241
7,16,238
7,17,278
7,18,251
7,19,249
7,20,229
7,21,262
7,22,257
7,23,284
7,24,264
7,25,274
7,26,259
7,27,252
7,28,258
7,29,276
7,30,269
8,0,267
8,1,265
8,2,238
8,3,243
8,4,249
8,5,247
8,6,238
8,7,236
8,8,267
8,9,241
8,10,242
8,11,250
8,12,252
8,13,243
8,14,234
8,15,228
8,16,249
8,17,232
8,18,242
8,19,259
8,20,245
8,21,249
8,22,233
8,23,229
8,24,257
8,25,275
8,26,282
8,27,245
8,28,268
8,29,241
8,30,257
9,0,233
9,1,253
9,2,235
9,3,234
9,4,233
9,5,235
9,6,228
9,7,223
9,8,229
9,9,222
9,10,238
9,11,217
9,12,231
9,13,232
9,14,240
9,15,244
9,16,245
9,17,227
9,18,235
9,19,232
9,20,230
9,21,229
9,22,221
9,23,235
9,24,226
9,25,227
9,26,221
9,27,225
9,28,231
9,29,240
9,30,224
10,0,227
10,1,218
10,2,220
10,3,224
10,4,220
10,5,216
10,6,227
10,7,220
10,8,218
10,9,220
10,10,218
10,11,225
10,12,228
10,13,276
10,14,300
10,15,287
10,16,255
10,17,238
10,18,216
10,19,222
10,20,237
10,21,226
10,22,226
10,23,226
10,24,232
10,25,231
10,26,226
10,27,216
10,28,218
10,29,229
10,30,217
11,0,216
11,1,215
