num_threads,iteration,execution_time
1,1,1146
1,2,1143
1,3,1153
1,4,1185
1,5,1136
1,6,1144
1,7,1150
1,8,1137
1,9,1133
1,10,1144
1,11,1179
1,12,1138
1,13,1145
1,14,1143
1,15,1132
1,16,1141
1,17,1130
1,18,1130
1,19,1129
1,20,1134
1,21,1131
1,22,1131
1,23,1129
1,24,1150
1,25,1145
1,26,1155
1,27,1150
1,28,1146
1,29,1183
1,30,1144
2,1,569
2,2,571
2,3,574
2,4,570
2,5,688
2,6,625
2,7,622
2,8,614
2,9,571
2,10,575
2,11,580
2,12,584
2,13,586
2,14,592
2,15,591
2,16,592
2,17,584
2,18,587
2,19,584
2,20,584
2,21,585
2,22,581
2,23,587
2,24,588
2,25,587
2,26,593
2,27,587
2,28,589
2,29,603
2,30,631
3,1,414
3,2,419
3,3,416
3,4,419
3,5,418
3,6,429
3,7,413
3,8,404
3,9,396
3,10,395
3,11,402
3,12,396
3,13,399
3,14,391
3,15,399
3,16,408
3,17,395
3,18,400
3,19,395
3,20,410
3,21,435
3,22,415
3,23,407
3,24,403
3,25,408
3,26,440
3,27,424
3,28,396
3,29,393
3,30,404
4,1,298
4,2,298
4,3,297
4,4,309
4,5,302
4,6,408
4,7,302
4,8,323
4,9,307
4,10,298
4,11,317
4,12,299
4,13,298
4,14,299
4,15,299
4,16,302
4,17,305
4,18,298
4,19,377
4,20,305
4,21,345
4,22,307
4,23,310
4,24,298
4,25,297
4,26,303
4,27,299
4,28,298
4,29,451
4,30,300
5,1,242
5,2,244
5,3,268
5,4,243
5,5,242
5,6,344
5,7,243
5,8,251
5,9,245
5,10,248
5,11,241
5,12,250
5,13,252
5,14,240
5,15,243
5,16,247
5,17,243
5,18,242
5,19,249
5,20,243
5,21,242
5,22,246
5,23,240
5,24,253
5,25,258
5,26,243
5,27,243
5,28,297
5,29,263
5,30,257
6,1,222
6,2,302
6,3,202
6,4,201
6,5,205
6,6,306
6,7,204
6,8,200
6,9,206
6,10,222
6,11,200
6,12,201
6,13,211
6,14,236
6,15,202
6,16,204
6,17,200
6,18,206
6,19,245
6,20,210
6,21,202
6,22,210
6,23,249
6,24,219
6,25,202
6,26,202
6,27,243
6,28,208
6,29,204
6,30,220
7,1,359
7,2,335
7,3,333
7,4,338
7,5,334
7,6,334
7,7,335
7,8,336
7,9,334
7,10,341
7,11,333
7,12,341
7,13,334
7,14,336
7,15,339
7,16,369
7,17,333
7,18,354
7,19,336
7,20,334
7,21,346
7,22,333
7,23,334
7,24,338
7,25,334
7,26,336
7,27,335
7,28,334
7,29,340
7,30,336
8,1,294
8,2,314
8,3,298
8,4,293
8,5,311
8,6,296
8,7,292
8,8,335
8,9,297
8,10,295
8,11,362
8,12,302
8,13,293
8,14,522
8,15,292
8,16,293
8,17,315
8,18,293
8,19,295
8,20,303
8,21,296
8,22,293
8,23,310
8,24,295
8,25,296
8,26,357
8,27,300
8,28,292
8,29,345
8,30,295
9,1,262
9,2,359
9,3,270
9,4,263
9,5,280
9,6,276
9,7,264
9,8,267
9,9,301
9,10,266
9,11,264
9,12,309
9,13,290
9,14,263
9,15,264
9,16,321
9,17,270
9,18,262
9,19,292
9,20,263
9,21,263
9,22,372
9,23,266
9,24,262
9,25,264
9,26,301
9,27,267
9,28,263
9,29,270
9,30,265
10,1,241
10,2,242
10,3,363
10,4,239
10,5,240
10,6,289
10,7,246
10,8,243
10,9,269
10,10,247
10,11,240
10,12,258
10,13,305
10,14,241
10,15,240
10,16,307
10,17,245
10,18,239
10,19,271
10,20,259
10,21,243
10,22,241
10,23,364
10,24,249
10,25,240
10,26,272
10,27,282
10,28,240
10,29,244
10,30,298
11,1,224
11,2,220
11,3,220
11,4,384
11,5,286
11,6,237
11,7,223
11,8,229
11,9,221
11,10,223
11,11,261
11,12,277
11,13,225
11,14,228
11,15,271
11,16,240
11,17,225
11,18,224
11,19,242
11,20,241
11,21,219
11,22,252
11,23,332
11,24,263
11,25,222
11,26,272
11,27,233
11,28,260
11,29,227
11,30,313
12,1,320
12,2,209
12,3,257
12,4,248
12,5,212
12,6,207
12,7,229
12,8,215
12,9,218
12,10,206
12,11,256
12,12,261
12,13,207
12,14,213
12,15,318
12,16,284
12,17,226
12,18,238
12,19,322
12,20,206
12,21,235
12,22,242
12,23,208
12,24,209
12,25,200
12,26,240
12,27,236
12,28,245
12,29,217
12,30,261
