num_threads,iteration,execution_time
1,1,4881
1,2,4878
1,3,4878
1,4,4877
1,5,4879
1,6,4879
1,7,4878
1,8,4877
1,9,4881
1,10,4878
1,11,4878
1,12,4878
1,13,4878
1,14,4878
1,15,4877
1,16,4877
1,17,4877
1,18,4878
1,19,4889
1,20,4881
1,21,4878
1,22,4878
1,23,4879
1,24,4886
1,25,4877
1,26,4877
1,27,4878
1,28,4877
1,29,4877
1,30,4877
2,1,2444
2,2,2444
2,3,2442
2,4,2444
2,5,2443
2,6,2446
2,7,2443
2,8,2445
2,9,2443
2,10,2443
2,11,2449
2,12,2444
2,13,2444
2,14,2444
2,15,2442
2,16,2446
2,17,2443
2,18,2444
2,19,2442
2,20,2444
2,21,2445
2,22,2444
2,23,2444
2,24,2444
2,25,2445
2,26,2445
2,27,2443
2,28,2443
2,29,2442
2,30,2444
3,1,1665
3,2,1665
3,3,1666
3,4,1666
3,5,1665
3,6,1666
3,7,1667
3,8,1667
3,9,1666
3,10,1667
3,11,1665
3,12,1667
3,13,1666
3,14,1666
3,15,1666
3,16,1666
3,17,1665
3,18,1667
3,19,1668
3,20,1671
3,21,1666
3,22,1665
3,23,1665
3,24,1673
3,25,1666
3,26,1675
3,27,1667
3,28,1666
3,29,1676
3,30,1665
4,1,1269
4,2,1251
4,3,1253
4,4,1253
4,5,1250
4,6,1252
4,7,1260
4,8,1266
4,9,1261
4,10,1268
4,11,1255
4,12,1261
4,13,1276
4,14,1251
4,15,1252
4,16,1252
4,17,1273
4,18,1265
4,19,1256
4,20,1263
4,21,1261
4,22,1251
4,23,1260
4,24,1250
4,25,1251
4,26,1267
4,27,1267
4,28,1267
4,29,1254
4,30,1252
5,1,1024
5,2,1043
5,3,1037
5,4,1055
5,5,1021
5,6,1037
5,7,1022
5,8,1037
5,9,1044
5,10,1032
5,11,1040
5,12,1032
5,13,1072
5,14,1022
5,15,1022
5,16,1046
5,17,1029
5,18,1029
5,19,1053
5,20,1037
5,21,1037
5,22,1060
5,23,1022
5,24,1097
5,25,1046
5,26,1022
5,27,1025
5,28,1022
5,29,1029
5,30,1037
6,1,939
6,2,875
6,3,853
6,4,874
6,5,898
6,6,898
6,7,861
6,8,896
6,9,906
6,10,883
6,11,930
6,12,1091
6,13,875
6,14,890
6,15,912
6,16,885
6,17,904
6,18,896
6,19,922
6,20,876
6,21,856
6,22,868
6,23,929
6,24,898
6,25,916
6,26,876
6,27,855
6,28,901
6,29,893
6,30,931
7,1,1084
7,2,1080
7,3,990
7,4,973
7,5,986
7,6,1085
7,7,973
7,8,1053
7,9,980
7,10,1081
7,11,948
7,12,1059
7,13,926
7,14,987
7,15,1051
7,16,1079
7,17,959
7,18,1078
7,19,916
7,20,1021
7,21,1048
7,22,1009
7,23,975
7,24,1057
7,25,1086
7,26,1043
7,27,884
7,28,951
7,29,997
7,30,1011
8,1,962
8,2,947
8,3,945
8,4,998
8,5,945
8,6,950
8,7,960
8,8,979
8,9,917
8,10,985
8,11,946
8,12,982
8,13,962
8,14,946
8,15,980
8,16,919
8,17,944
8,18,994
8,19,943
8,20,934
8,21,992
8,22,946
8,23,955
8,24,906
8,25,997
8,26,974
8,27,978
8,28,946
8,29,938
8,30,1016
9,1,925
9,2,934
9,3,953
9,4,950
9,5,945
9,6,901
9,7,962
9,8,919
9,9,910
9,10,958
9,11,899
9,12,910
9,13,896
9,14,933
9,15,959
9,16,925
9,17,936
9,18,950
9,19,960
9,20,976
9,21,942
9,22,961
9,23,959
9,24,976
9,25,914
9,26,925
9,27,929
9,28,941
9,29,919
9,30,920
10,1,913
10,2,874
10,3,898
10,4,894
10,5,904
10,6,913
10,7,885
10,8,904
10,9,887
10,10,897
10,11,910
10,12,907
10,13,913
10,14,912
10,15,884
10,16,882
10,17,875
10,18,910
10,19,921
10,20,923
10,21,887
10,22,911
10,23,910
10,24,905
10,25,901
10,26,917
10,27,886
10,28,889
10,29,896
10,30,912
11,1,877
11,2,872
11,3,874
11,4,880
11,5,859
11,6,865
11,7,873
11,8,877
11,9,870
11,10,868
11,11,886
11,12,871
11,13,871
11,14,890
11,15,868
11,16,872
11,17,873
11,18,872
11,19,874
11,20,874
11,21,876
11,22,863
11,23,892
11,24,879
11,25,883
11,26,884
11,27,869
11,28,870
11,29,866
11,30,885
12,1,851
12,2,850
12,3,848
12,4,853
12,5,856
12,6,848
12,7,857
12,8,850
12,9,851
12,10,859
12,11,859
12,12,848
12,13,852
12,14,849
12,15,849
12,16,856
12,17,860
12,18,851
12,19,850
12,20,856
12,21,854
12,22,847
12,23,856
12,24,850
12,25,851
12,26,861
12,27,851
12,28,853
12,29,852
12,30,850
13,1,884
13,2,885
13,3,876
13,4,886
13,5,893
13,6,874
13,7,878
13,8,882
13,9,875
13,10,870
13,11,866
13,12,873
13,13,897
13,14,888
13,15,884
13,16,873
13,17,895
13,18,870
13,19,890
13,20,883
13,21,874
13,22,872
13,23,875
13,24,891
13,25,871
13,26,880
13,27,891
13,28,873
13,29,882
13,30,870
14,1,872
14,2,864
14,3,914
14,4,866
14,5,883
14,6,867
14,7,868
14,8,865
14,9,882
14,10,884
14,11,879
14,12,856
14,13,881
14,14,875
14,15,885
14,16,882
14,17,870
14,18,877
14,19,882
14,20,870
14,21,866
14,22,912
14,23,890
14,24,869
14,25,875
14,26,867
14,27,872
14,28,888
