num_threads,iteration,execution_time
1,0,1137
1,1,1137
1,2,1137
1,3,1137
1,4,1136
1,5,1137
1,6,1137
1,7,1137
1,8,1136
1,9,1137
1,10,1137
1,11,1137
1,12,1136
1,13,1137
1,14,1136
1,15,1136
1,16,1137
1,17,1136
1,18,1137
1,19,1137
1,20,1137
1,21,1137
1,22,1137
1,23,1137
1,24,1136
1,25,1137
1,26,1136
1,27,1137
1,28,1137
1,29,1137
1,30,1137
2,0,570
2,1,570
2,2,571
2,3,572
2,4,571
2,5,570
2,6,570
2,7,572
2,8,572
2,9,571
2,10,570
2,11,571
2,12,572
2,13,571
2,14,570
2,15,570
2,16,571
2,17,570
2,18,571
2,19,571
2,20,572
2,21,571
2,22,570
2,23,569
2,24,569
2,25,571
2,26,573
2,27,570
2,28,582
2,29,572
2,30,571
3,0,388
3,1,388
3,2,389
3,3,389
3,4,388
3,5,388
3,6,388
3,7,390
3,8,389
3,9,388
3,10,388
3,11,388
3,12,388
3,13,390
3,14,388
3,15,389
3,16,401
3,17,389
3,18,390
3,19,389
3,20,390
3,21,388
3,22,389
3,23,389
3,24,389
3,25,389
3,26,389
3,27,388
3,28,388
3,29,390
3,30,389
4,0,292
4,1,292
4,2,300
4,3,292
4,4,294
4,5,299
4,6,293
4,7,292
4,8,292
4,9,294
4,10,293
4,11,292
4,12,304
4,13,292
4,14,292
4,15,293
4,16,292
4,17,296
4,18,297
4,19,294
4,20,304
4,21,305
4,22,293
4,23,309
4,24,292
4,25,309
4,26,292
4,27,292
4,28,296
4,29,292
4,30,293
5,0,254
5,1,255
5,2,253
5,3,238
5,4,261
5,5,238
5,6,238
5,7,238
5,8,262
5,9,238
5,10,238
5,11,238
5,12,238
5,13,250
5,14,239
5,15,246
5,16,261
5,17,253
5,18,238
5,19,264
5,20,238
5,21,239
5,22,238
5,23,261
5,24,253
5,25,239
5,26,238
5,27,292
5,28,238
5,29,239
5,30,252
6,0,222
6,1,199
6,2,225
6,3,222
6,4,275
6,5,214
6,6,199
6,7,202
6,8,243
6,9,200
6,10,215
6,11,228
6,12,260
6,13,199
6,14,282
6,15,222
6,16,309
6,17,199
6,18,217
6,19,245
6,20,305
6,21,199
6,22,216
6,23,199
6,24,254
6,25,221
6,26,224
6,27,199
6,28,249
6,29,218
6,30,211
7,0,262
7,1,228
7,2,261
7,3,255
7,4,242
7,5,263
7,6,256
7,7,263
7,8,275
7,9,250
7,10,262
7,11,260
7,12,248
7,13,255
7,14,257
7,15,233
7,16,262
7,17,259
7,18,238
7,19,262
7,20,263
7,21,247
7,22,216
7,23,252
7,24,254
7,25,254
7,26,263
7,27,259
7,28,258
7,29,257
7,30,262
8,0,234
8,1,239
8,2,241
8,3,238
8,4,236
8,5,219
8,6,228
8,7,226
8,8,227
8,9,235
8,10,241
8,11,229
8,12,247
8,13,241
8,14,243
8,15,243
8,16,242
8,17,242
8,18,241
8,19,243
8,20,242
8,21,258
8,22,243
8,23,235
8,24,242
8,25,236
8,26,235
8,27,257
8,28,230
8,29,234
8,30,227
9,0,231
9,1,225
9,2,218
9,3,216
9,4,242
9,5,221
9,6,217
9,7,219
9,8,225
9,9,241
9,10,220
9,11,217
9,12,223
9,13,224
9,14,220
9,15,233
9,16,226
9,17,220
9,18,240
9,19,225
9,20,221
9,21,227
9,22,225
9,23,225
9,24,221
9,25,225
9,26,231
9,27,224
9,28,236
9,29,226
9,30,225
10,0,224
10,1,225
10,2,227
10,3,217
10,4,221
10,5,218
10,6,223
10,7,212
10,8,212
10,9,213
10,10,210
10,11,221
10,12,228
10,13,213
10,14,215
10,15,223
10,16,235
10,17,213
10,18,216
10,19,210
10,20,221
10,21,210
10,22,235
10,23,222
10,24,213
10,25,213
10,26,225
10,27,217
10,28,215
10,29,211
10,30,209
11,0,209
11,1,208
11,2,214
11,3,204
11,4,202
11,5,210
11,6,209
11,7,214
11,8,202
11,9,213
11,10,210
11,11,215
11,12,214
11,13,209
11,14,206
11,15,212
11,16,214
11,17,209
11,18,209
11,19,211
11,20,209
11,21,214
11,22,211
11,23,212
11,24,209
11,25,212
11,26,213
11,27,209
11,28,214
11,29,214
11,30,214
12,0,201
12,1,211
12,2,200
12,3,200
12,4,199
12,5,206
12,6,201
12,7,199
12,8,199
12,9,201
12,10,202
12,11,198
12,12,205
12,13,199
12,14,202
12,15,201
12,16,201
12,17,205
12,18,199
12,19,205
12,20,203
12,21,200
12,22,201
12,23,206
12,24,203
12,25,199
12,26,200
12,27,197
12,28,203
12,29,199
12,30,199
13,0,224
13,1,222
13,2,220
13,3,223
13,4,217
13,5,223
13,6,222
13,7,224
13,8,225
13,9,216
13,10,215
13,11,208
13,12,213
13,13,209
13,14,220
13,15,218
13,16,225
13,17,231
13,18,216
13,19,228
13,20,214
13,21,221
13,22,219
13,23,233
13,24,212
13,25,211
13,26,227
13,27,214
13,28,235
13,29,215
13,30,220
14,0,231
14,1,213
14,2,205
14,3,212
14,4,220
14,5,218
14,6,224
14,7,224
14,8,221
14,9,227
14,10,216
14,11,205
14,12,215
14,13,218
14,14,209
14,15,229
14,16,213
14,17,222
14,18,219
14,19,223
14,20,216
14,21,213
14,22,217
14,23,226
14,24,213
14,25,229
14,26,216
14,27,211
14,28,210
14,29,226
14,30,216
15,0,208
15,1,222
15,2,210
15,3,218
15,4,217
15,5,224
15,6,206
15,7,219
15,8,232
15,9,211
15,10,210
15,11,205
15,12,221
15,13,214
15,14,220
15,15,210
15,16,212
15,17,205
15,18,203
15,19,219
15,20,227
15,21,220
15,22,229
15,23,227
15,24,225
15,25,220
15,26,240
15,27,223
15,28,217
15,29,226
15,30,220
16,0,225
16,1,223
16,2,223
16,3,219
16,4,210
16,5,233
16,6,229
16,7,229
16,8,216
16,9,212
16,10,229
16,11,224
16,12,221
16,13,224
16,14,214
16,15,230
16,16,225
16,17,217
16,18,215
16,19,222
16,20,221
16,21,246
16,22,233
16,23,227
16,24,224
16,25,217
16,26,213
16,27,225
16,28,232
16,29,235
16,30,220
